epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3423,2.50391,12.1872,2.09444,0.27957,0.0625,0.05151,0.02165,2.08353,8.77963,1.99154,0.00022,0.00022,0.00022
2,37.4239,1.77874,5.30536,1.68479,0.35964,0.28082,0.16273,0.07644,1.8546,7.80259,1.9212,0.000456964,0.000456964,0.000456964
3,45.9808,1.76526,3.74799,1.66929,0.31857,0.10938,0.11789,0.04028,2.0031,6.83402,1.98708,0.00069076,0.00069076,0.00069076
4,54.1692,1.76745,2.87499,1.56499,0.05528,0.1875,0.02925,0.01175,2.26979,7.24604,2.32381,0.000921388,0.000921388,0.000921388
5,61.8597,1.74681,2.50478,1.57066,0.03323,0.23438,0.01351,0.00398,2.48319,7.66223,3.09182,0.00114885,0.00114885,0.00114885
6,69.8115,1.80789,2.27665,1.67393,0.00158,0.28125,0.00116,0.00025,3.70361,6773.91,58.5168,0.00137314,0.00137314,0.00137314
7,77.7647,1.84093,2.02106,1.65772,0.00044,0.10938,5e-05,1e-05,3.84735,9367.78,77.1945,0.00159426,0.00159426,0.00159426
8,85.8378,1.84557,2.23295,1.69822,0.00075,0.17188,0.00044,7e-05,3.51966,6194.51,28.2859,0.00181222,0.00181222,0.00181222
9,94.4358,1.91886,2.10913,1.72267,0.00066,0.1875,0.00017,4e-05,3.59371,3846.13,14.9972,0.0018944,0.0018944,0.0018944
10,102.871,1.87253,2.15349,1.63767,0.00068,0.20312,0.00014,3e-05,3.95888,6171.2,13.2261,0.0018812,0.0018812,0.0018812
11,110.842,1.93434,2.12022,1.80084,0.00044,0.07812,5e-05,1e-05,3.86219,3285.73,7.17099,0.001868,0.001868,0.001868
12,119.265,1.81637,1.85238,1.69285,0.00216,0.29688,0.00091,0.00025,3.13616,219.025,4.47053,0.0018548,0.0018548,0.0018548
13,127.494,1.85578,1.88136,1.71022,0.41904,0.17188,0.1308,0.05277,2.31195,4.0848,2.49049,0.0018416,0.0018416,0.0018416
