epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,134.939,1.84415,1.91129,1.71913,0.1662,0.29688,0.12496,0.04241,2.35979,5.06564,2.34053,0.0018284,0.0018284,0.0018284
15,141.305,1.65782,1.53745,1.58001,0.57902,0.42188,0.37864,0.18808,2.10706,2.88227,2.18109,0.0018152,0.0018152,0.0018152
16,147.716,1.72152,1.59349,1.61429,0.58759,0.34375,0.4022,0.17423,2.19605,2.59651,2.30926,0.001802,0.001802,0.001802
17,156.506,1.63533,1.59847,1.66411,0.1327,0.32812,0.10406,0.04171,2.11944,8.5567,2.15705,0.0017888,0.0017888,0.0017888
18,164.764,1.67742,1.53934,1.57995,0.4998,0.4375,0.34517,0.16814,1.95587,5.74571,1.99038,0.0017756,0.0017756,0.0017756
19,173.133,1.72246,1.49181,1.54996,0.17639,0.375,0.09867,0.04291,2.29551,4.50798,2.24736,0.0017624,0.0017624,0.0017624
20,181.317,1.58563,1.38305,1.53788,0.08467,0.35938,0.05037,0.02015,2.30329,6.17498,2.25717,0.0017492,0.0017492,0.0017492
21,190.337,1.69425,1.41151,1.62046,0.0992,0.17188,0.04386,0.01473,2.52359,5.59073,2.51174,0.001736,0.001736,0.001736
22,199.32,1.64984,1.46346,1.62563,0.16585,0.26562,0.0983,0.03454,2.68116,5.98278,2.90868,0.0017228,0.0017228,0.0017228
23,208.292,1.65172,1.49625,1.59214,0.18285,0.25,0.14435,0.06103,2.34334,3.7887,2.39337,0.0017096,0.0017096,0.0017096
24,214.891,1.68769,1.47869,1.645,0.4569,0.29688,0.29474,0.13378,1.97326,2.82909,1.99816,0.0016964,0.0016964,0.0016964
25,221.187,1.67499,1.41228,1.58101,0.12735,0.40625,0.14951,0.05834,2.08035,6.24771,2.07207,0.0016832,0.0016832,0.0016832
26,227.54,1.66544,1.42063,1.55336,0.17202,0.48438,0.15076,0.06978,2.04041,4.46491,1.98499,0.00167,0.00167,0.00167
27,234.046,1.57379,1.30143,1.51743,0.49892,0.4375,0.42173,0.20367,2.04568,2.83688,2.07655,0.0016568,0.0016568,0.0016568
28,240.539,1.58463,1.19302,1.51508,0.68084,0.46875,0.50721,0.26238,1.99247,2.41131,2.00107,0.0016436,0.0016436,0.0016436
29,247.117,1.55208,1.24949,1.45324,0.24411,0.5,0.21419,0.09977,2.02071,3.41435,1.93514,0.0016304,0.0016304,0.0016304
30,253.41,1.55562,1.27172,1.53044,0.29573,0.58397,0.30129,0.13203,1.98511,2.62569,1.92398,0.0016172,0.0016172,0.0016172
31,259.77,1.61698,1.2789,1.56371,0.7342,0.42188,0.53784,0.28953,1.81316,2.19737,1.7818,0.001604,0.001604,0.001604
32,266.117,1.53266,1.15423,1.50105,0.6023,0.45312,0.54183,0.25103,1.94734,2.17524,1.87693,0.0015908,0.0015908,0.0015908
33,272.346,1.56121,1.21948,1.52442,0.65091,0.60938,0.60896,0.28224,1.82197,1.61959,1.74386,0.0015776,0.0015776,0.0015776
34,278.708,1.46302,1.15293,1.42708,0.64556,0.65625,0.62456,0.28954,1.89978,1.5217,1.73724,0.0015644,0.0015644,0.0015644
35,285.27,1.34306,1.0403,1.31856,0.62719,0.5,0.57568,0.2475,1.97169,1.71163,1.89048,0.0015512,0.0015512,0.0015512
36,291.361,1.39385,1.06712,1.43805,0.64033,0.53125,0.53632,0.23437,1.9363,1.80744,1.91324,0.001538,0.001538,0.001538
37,297.61,1.49582,1.14128,1.45177,0.71669,0.59293,0.64544,0.27029,1.86838,1.58298,1.88956,0.0015248,0.0015248,0.0015248
38,304.017,1.44047,1.07881,1.41272,0.78863,0.51562,0.62768,0.29708,1.86188,1.68052,1.8607,0.0015116,0.0015116,0.0015116
39,310.558,1.36307,1.03781,1.42141,0.78466,0.51562,0.61515,0.28285,1.9964,1.71693,1.91051,0.0014984,0.0014984,0.0014984
40,317.033,1.41835,0.99634,1.38495,0.82574,0.53125,0.66318,0.29565,1.95569,1.68257,1.9119,0.0014852,0.0014852,0.0014852
41,323.617,1.30841,1.06199,1.36861,0.7187,0.59887,0.67675,0.34032,1.82533,1.48885,1.84944,0.001472,0.001472,0.001472
42,330.359,1.29289,1.03161,1.33902,0.71353,0.54488,0.66545,0.32302,1.8524,1.54096,1.89659,0.0014588,0.0014588,0.0014588
43,338.769,1.33209,1.0954,1.37516,0.70646,0.64062,0.65884,0.31974,1.91719,1.66063,1.93296,0.0014456,0.0014456,0.0014456
44,347.289,1.46274,1.02046,1.4326,0.67654,0.51562,0.58054,0.29646,1.91655,2.01386,1.91112,0.0014324,0.0014324,0.0014324
45,356.088,1.34243,1.00776,1.36232,0.89786,0.57812,0.7085,0.3769,1.75442,1.47164,1.77121,0.0014192,0.0014192,0.0014192
46,366.541,1.34381,0.93111,1.37643,0.9006,0.56635,0.71415,0.36506,1.78,1.50765,1.77592,0.001406,0.001406,0.001406
47,377.305,1.31809,0.97431,1.34996,0.8156,0.6875,0.72815,0.35415,1.92574,1.50692,1.88291,0.0013928,0.0013928,0.0013928
48,387.131,1.28288,0.94216,1.31377,0.8173,0.625,0.71079,0.35099,1.84118,1.45351,1.76647,0.0013796,0.0013796,0.0013796
49,397.098,1.23908,0.95419,1.31169,0.77636,0.625,0.67282,0.34724,1.69843,1.46012,1.64091,0.0013664,0.0013664,0.0013664
50,404.077,1.29658,0.93996,1.29308,0.74141,0.58244,0.6562,0.32766,1.79588,1.60154,1.73838,0.0013532,0.0013532,0.0013532
51,410.954,1.2697,0.89567,1.31799,0.7826,0.61879,0.71221,0.36728,1.69236,1.58828,1.70324,0.00134,0.00134,0.00134
52,417.799,1.23096,0.91903,1.31893,0.68543,0.61286,0.70656,0.37158,1.65178,1.38087,1.67847,0.0013268,0.0013268,0.0013268
53,424.898,1.21824,0.87903,1.28564,0.72295,0.60938,0.7004,0.36245,1.80493,1.38263,1.76732,0.0013136,0.0013136,0.0013136
54,431.684,1.28901,0.91135,1.34814,0.77727,0.64062,0.74301,0.37747,1.76435,1.3233,1.73978,0.0013004,0.0013004,0.0013004
55,438.851,1.28253,0.90378,1.31831,0.82018,0.625,0.724,0.36208,1.74793,1.35367,1.68247,0.0012872,0.0012872,0.0012872
56,445.53,1.27321,1.0043,1.34958,0.86593,0.60556,0.72529,0.35507,1.77767,1.35232,1.68636,0.001274,0.001274,0.001274
57,452.559,1.19169,0.89774,1.30355,0.88922,0.625,0.75269,0.41701,1.64826,1.24033,1.60095,0.0012608,0.0012608,0.0012608
58,459.806,1.19024,0.83752,1.26229,0.87476,0.59375,0.73349,0.40094,1.67858,1.2583,1.62894,0.0012476,0.0012476,0.0012476
59,466.739,1.2327,0.87606,1.29737,0.73351,0.6875,0.74229,0.42674,1.7137,1.41849,1.65435,0.0012344,0.0012344,0.0012344
60,474.002,1.17388,0.84002,1.29603,0.7514,0.71875,0.76444,0.41101,1.70748,1.40672,1.6754,0.0012212,0.0012212,0.0012212
61,481.251,1.12988,0.82938,1.23625,0.73753,0.64062,0.70613,0.36421,1.70162,1.41406,1.70579,0.001208,0.001208,0.001208
62,488.462,1.2009,0.84321,1.24994,0.80507,0.64538,0.72187,0.38661,1.75623,1.35998,1.75601,0.0011948,0.0011948,0.0011948
63,495.659,1.11137,0.79622,1.22048,0.83666,0.64062,0.74114,0.37612,1.74313,1.26565,1.7601,0.0011816,0.0011816,0.0011816
64,502.786,1.09821,0.80666,1.23496,0.87475,0.65479,0.74735,0.3779,1.6547,1.22439,1.70525,0.0011684,0.0011684,0.0011684
65,511.673,1.13427,0.75077,1.18216,0.78473,0.65625,0.71098,0.38042,1.70828,1.32096,1.74298,0.0011552,0.0011552,0.0011552
66,520.414,1.19272,0.8161,1.29421,0.73393,0.67188,0.69301,0.34888,1.82596,1.42545,1.85966,0.001142,0.001142,0.001142
67,529.877,1.14605,0.81001,1.2279,0.87271,0.6428,0.75326,0.3894,1.684,1.1782,1.72077,0.0011288,0.0011288,0.0011288
68,538.884,1.1281,0.84052,1.20312,0.73757,0.74658,0.76268,0.41004,1.63301,1.20711,1.70171,0.0011156,0.0011156,0.0011156
69,548.592,1.11067,0.83534,1.17404,0.7853,0.68583,0.70751,0.34323,1.78897,1.33896,1.80315,0.0011024,0.0011024,0.0011024
70,560.444,1.17127,0.87456,1.29798,0.76712,0.66916,0.68001,0.34488,1.7893,1.25944,1.7771,0.0010892,0.0010892,0.0010892
71,573.124,1.14547,0.79652,1.24181,0.767,0.6687,0.77414,0.39197,1.79438,1.14068,1.7831,0.001076,0.001076,0.001076
72,585.458,1.06961,0.75329,1.17892,0.90513,0.59635,0.76744,0.39964,1.77382,1.14214,1.75001,0.0010628,0.0010628,0.0010628
73,596.234,1.10716,0.78274,1.2069,0.84073,0.59375,0.7431,0.35917,1.75686,1.32091,1.73172,0.0010496,0.0010496,0.0010496
74,605.629,1.04267,0.78435,1.20964,0.77915,0.66155,0.71671,0.35947,1.76359,1.37379,1.7324,0.0010364,0.0010364,0.0010364
75,615.255,1.02754,0.70074,1.176,0.899,0.6955,0.74456,0.39523,1.67433,1.31407,1.69063,0.0010232,0.0010232,0.0010232
76,624.903,1.11666,0.77695,1.20846,0.81734,0.69924,0.75691,0.39641,1.64707,1.26769,1.67635,0.00101,0.00101,0.00101
77,631.213,1.07282,0.8101,1.23313,0.76972,0.70312,0.74986,0.41473,1.65275,1.27824,1.66929,0.0009968,0.0009968,0.0009968
78,637.693,1.0253,0.75483,1.1608,0.85006,0.67188,0.73753,0.39722,1.71447,1.34558,1.73078,0.0009836,0.0009836,0.0009836
79,644.208,1.10846,0.75621,1.24008,0.80935,0.67188,0.72504,0.37207,1.68605,1.2519,1.71273,0.0009704,0.0009704,0.0009704
80,650.759,1.03748,0.7638,1.17486,0.92982,0.6211,0.74014,0.39023,1.68772,1.21786,1.73077,0.0009572,0.0009572,0.0009572
81,657.615,1.04445,0.74836,1.19707,0.89811,0.65625,0.75665,0.39942,1.68936,1.19373,1.73071,0.000944,0.000944,0.000944
82,664.073,0.9674,0.74414,1.14539,0.80906,0.67188,0.74147,0.39657,1.70136,1.17628,1.76249,0.0009308,0.0009308,0.0009308
83,670.412,0.99686,0.73446,1.13372,0.78874,0.73438,0.78905,0.4212,1.694,1.16361,1.75892,0.0009176,0.0009176,0.0009176
84,676.834,1.04299,0.76904,1.19176,0.74301,0.75,0.78439,0.42326,1.67296,1.17215,1.7378,0.0009044,0.0009044,0.0009044
85,683.294,0.97276,0.7385,1.13639,0.91409,0.66508,0.77884,0.39991,1.76863,1.19697,1.77597,0.0008912,0.0008912,0.0008912
86,689.811,1.02355,0.6865,1.15757,0.94678,0.64062,0.76347,0.37214,1.83055,1.21878,1.82571,0.000878,0.000878,0.000878
87,696.358,0.92178,0.66231,1.08278,0.81239,0.71875,0.77596,0.37808,1.8206,1.18137,1.85817,0.0008648,0.0008648,0.0008648
88,702.813,0.97079,0.70524,1.1374,0.97606,0.63704,0.78479,0.39429,1.78274,1.22362,1.79712,0.0008516,0.0008516,0.0008516
89,709.521,0.94854,0.65935,1.13015,0.79032,0.71875,0.78671,0.40854,1.68575,1.18289,1.72374,0.0008384,0.0008384,0.0008384
90,715.986,0.96117,0.67403,1.16687,0.86711,0.71376,0.79999,0.4192,1.66218,1.12746,1.68396,0.0008252,0.0008252,0.0008252
91,722.474,0.90915,0.66673,1.13087,0.91122,0.70312,0.81187,0.43061,1.6857,1.14986,1.66137,0.000812,0.000812,0.000812
92,729.08,1.0386,0.73218,1.14388,0.85402,0.73133,0.80975,0.42695,1.71289,1.20579,1.6829,0.0007988,0.0007988,0.0007988
93,735.689,0.95411,0.68251,1.16094,0.92016,0.625,0.78233,0.40435,1.75806,1.36736,1.72855,0.0007856,0.0007856,0.0007856
94,742.034,0.92939,0.69602,1.1377,0.82042,0.6875,0.76281,0.39547,1.78371,1.34813,1.76221,0.0007724,0.0007724,0.0007724
95,748.444,0.91069,0.63807,1.11862,0.76349,0.70621,0.75112,0.37863,1.74568,1.33049,1.77508,0.0007592,0.0007592,0.0007592
96,755.066,0.90579,0.63414,1.08419,0.82245,0.71875,0.76026,0.39713,1.71078,1.30221,1.75166,0.000746,0.000746,0.000746
97,761.482,0.9013,0.66183,1.12945,0.82932,0.70312,0.74967,0.41196,1.7464,1.32281,1.75978,0.0007328,0.0007328,0.0007328
98,767.979,1.03393,0.69831,1.20655,0.95262,0.64062,0.7415,0.38802,1.78891,1.40191,1.79009,0.0007196,0.0007196,0.0007196
99,774.512,0.93109,0.6914,1.14593,0.93272,0.64988,0.72832,0.38405,1.82572,1.44712,1.84515,0.0007064,0.0007064,0.0007064
100,781.05,0.90401,0.68269,1.11162,0.92347,0.65625,0.7687,0.38774,1.77837,1.30049,1.81633,0.0006932,0.0006932,0.0006932
101,787.539,0.89194,0.63188,1.12208,0.8013,0.70312,0.78338,0.39658,1.69792,1.18846,1.75642,0.00068,0.00068,0.00068
102,794.171,0.9173,0.61204,1.1078,0.87604,0.66262,0.76878,0.39376,1.68711,1.17138,1.73596,0.0006668,0.0006668,0.0006668
103,801.081,0.81767,0.59369,1.03624,0.84829,0.71875,0.78447,0.41807,1.6584,1.20889,1.71631,0.0006536,0.0006536,0.0006536
104,807.633,0.85284,0.63313,1.10971,0.79668,0.73438,0.78945,0.4237,1.68379,1.25907,1.73936,0.0006404,0.0006404,0.0006404
105,814.758,0.87121,0.62546,1.11067,0.88556,0.65625,0.78373,0.433,1.6934,1.24722,1.73283,0.0006272,0.0006272,0.0006272
106,821.619,0.89368,0.62717,1.09849,0.92645,0.65625,0.78678,0.43229,1.68863,1.24103,1.71693,0.000614,0.000614,0.000614
107,828.452,0.87141,0.62108,1.10322,0.90173,0.71875,0.79741,0.42216,1.66021,1.23095,1.69855,0.0006008,0.0006008,0.0006008
108,835.07,0.81465,0.56237,1.05317,0.84841,0.73438,0.79652,0.43351,1.68189,1.26143,1.70262,0.0005876,0.0005876,0.0005876
109,841.651,0.87011,0.62279,1.11271,0.91814,0.701,0.80301,0.41371,1.72275,1.20145,1.74925,0.0005744,0.0005744,0.0005744
110,848.233,0.83189,0.55908,1.07842,0.93531,0.6875,0.8078,0.40726,1.7379,1.14758,1.78253,0.0005612,0.0005612,0.0005612
111,854.923,0.81248,0.57765,1.05592,0.95687,0.70312,0.80956,0.40818,1.7217,1.10996,1.80105,0.000548,0.000548,0.000548
112,861.562,0.8588,0.60705,1.09627,0.95828,0.71788,0.81857,0.42155,1.71239,1.08768,1.8146,0.0005348,0.0005348,0.0005348
113,868.172,0.83266,0.59744,1.0693,0.92547,0.70312,0.82693,0.43213,1.7302,1.14407,1.81519,0.0005216,0.0005216,0.0005216
114,874.563,0.85916,0.63313,1.13863,0.81607,0.76262,0.82333,0.42401,1.73833,1.15652,1.81287,0.0005084,0.0005084,0.0005084
115,881.24,0.80604,0.60319,1.103,0.84997,0.75,0.81645,0.42056,1.74686,1.14286,1.80152,0.0004952,0.0004952,0.0004952
116,887.668,0.78593,0.58403,1.07761,0.85735,0.73438,0.83291,0.42449,1.72504,1.10311,1.77207,0.000482,0.000482,0.000482
117,894.259,0.82282,0.5366,1.05698,0.92154,0.73438,0.84091,0.42453,1.70938,1.0447,1.75266,0.0004688,0.0004688,0.0004688
118,900.726,0.79939,0.56124,1.04332,0.88863,0.74806,0.83319,0.45133,1.69032,1.06598,1.72868,0.0004556,0.0004556,0.0004556
119,907.368,0.74324,0.52102,1.00345,0.9227,0.74611,0.85682,0.44546,1.6637,1.0606,1.7223,0.0004424,0.0004424,0.0004424
120,913.857,0.7236,0.52395,0.9929,0.91881,0.73438,0.84707,0.44112,1.65694,1.05419,1.72442,0.0004292,0.0004292,0.0004292
121,920.917,0.7318,0.51234,1.01545,0.85514,0.73793,0.80632,0.43534,1.65371,1.08245,1.71319,0.000416,0.000416,0.000416
122,927.313,0.7265,0.48597,0.99392,0.8995,0.73438,0.80587,0.44387,1.65737,1.11632,1.70449,0.0004028,0.0004028,0.0004028
123,933.935,0.73181,0.52772,1.01762,0.90382,0.73419,0.80491,0.44235,1.65739,1.21985,1.69032,0.0003896,0.0003896,0.0003896
124,940.537,0.72924,0.51713,1.00499,0.92122,0.73092,0.81539,0.45194,1.64726,1.25352,1.67895,0.0003764,0.0003764,0.0003764
125,947.328,0.71541,0.5419,1.02288,0.9181,0.73438,0.80926,0.45133,1.62891,1.20005,1.66777,0.0003632,0.0003632,0.0003632
126,953.768,0.78067,0.54371,1.06591,0.90555,0.74906,0.80616,0.45161,1.63384,1.19038,1.68094,0.00035,0.00035,0.00035
127,960.408,0.6735,0.52054,0.98512,0.91905,0.75,0.80315,0.43957,1.65637,1.14174,1.70839,0.0003368,0.0003368,0.0003368
128,966.976,0.70397,0.49521,0.98673,0.92284,0.74756,0.81359,0.4419,1.65987,1.13874,1.70818,0.0003236,0.0003236,0.0003236
129,973.384,0.72626,0.541,1.02532,0.93972,0.73078,0.8189,0.43877,1.68046,1.13201,1.72738,0.0003104,0.0003104,0.0003104
130,980.039,0.66156,0.4937,0.99951,0.9345,0.71875,0.80956,0.43909,1.68384,1.1619,1.72797,0.0002972,0.0002972,0.0002972
131,986.759,0.66686,0.49695,0.98668,0.9414,0.70312,0.80338,0.43936,1.68916,1.16189,1.73769,0.000284,0.000284,0.000284
132,993.185,0.71398,0.50919,1.05395,0.92804,0.71875,0.80084,0.44857,1.69108,1.15145,1.7403,0.0002708,0.0002708,0.0002708
133,999.856,0.7606,0.55971,1.07299,0.93321,0.71875,0.81389,0.44758,1.707,1.13102,1.76323,0.0002576,0.0002576,0.0002576
134,1006.52,0.70863,0.51054,1.00082,0.93933,0.73438,0.81412,0.44728,1.70665,1.12208,1.77396,0.0002444,0.0002444,0.0002444
135,1012.83,0.69152,0.53989,1.00496,0.90191,0.73438,0.82242,0.44264,1.70047,1.13814,1.77391,0.0002312,0.0002312,0.0002312
136,1019.43,0.7338,0.56738,1.0529,0.87493,0.76518,0.81295,0.43642,1.69579,1.14273,1.7703,0.000218,0.000218,0.000218
137,1026.11,0.67948,0.49416,1.00054,0.90632,0.76562,0.80106,0.43571,1.69184,1.17754,1.76688,0.0002048,0.0002048,0.0002048
138,1032.64,0.6808,0.50509,0.99736,0.89557,0.76562,0.80715,0.43582,1.70003,1.19657,1.76853,0.0001916,0.0001916,0.0001916
139,1039.39,0.64239,0.50403,0.96503,0.99044,0.71875,0.80778,0.43671,1.71146,1.15266,1.7725,0.0001784,0.0001784,0.0001784
140,1046.13,0.67124,0.50169,0.97521,0.97024,0.71875,0.80747,0.43719,1.7129,1.1359,1.7755,0.0001652,0.0001652,0.0001652
141,1052.62,0.65753,0.42407,0.98302,0.9416,0.75588,0.80857,0.43175,1.72649,1.08185,1.79833,0.000152,0.000152,0.000152
142,1059.24,0.59509,0.41124,0.9384,0.95938,0.73808,0.80751,0.42664,1.73214,1.08045,1.79996,0.0001388,0.0001388,0.0001388
143,1065.85,0.59465,0.41906,0.92904,0.94193,0.76044,0.82029,0.42871,1.71529,1.05722,1.78333,0.0001256,0.0001256,0.0001256
144,1074.26,0.56201,0.3864,0.93214,0.94197,0.76089,0.82364,0.42778,1.70987,1.05491,1.77355,0.0001124,0.0001124,0.0001124
145,1082.8,0.61362,0.42708,0.96815,0.92435,0.76562,0.82281,0.42303,1.71488,1.0819,1.77738,9.92e-05,9.92e-05,9.92e-05
146,1091.23,0.59328,0.3973,0.91765,0.89897,0.76562,0.82416,0.42695,1.71648,1.08252,1.77639,8.6e-05,8.6e-05,8.6e-05
147,1099.68,0.55081,0.39425,0.92614,0.92251,0.74409,0.80935,0.42078,1.7251,1.08867,1.78297,7.28e-05,7.28e-05,7.28e-05
148,1108.65,0.54618,0.37601,0.89386,0.89028,0.75,0.80062,0.41474,1.73365,1.09242,1.79205,5.96e-05,5.96e-05,5.96e-05
149,1118.2,0.57496,0.40059,0.94234,0.89353,0.75,0.79867,0.40833,1.7296,1.08703,1.79428,4.64e-05,4.64e-05,4.64e-05
150,1128.15,0.54387,0.38216,0.92632,0.89475,0.75,0.7982,0.41058,1.73024,1.09244,1.79781,3.32e-05,3.32e-05,3.32e-05
